state;region;pop;area;density;metro;waste;energy;miles;toxic;green;house;senate;csat;vsat;msat;percent;expense;income;high;college
Missouri;4;5117000;68898;74,26999664;66,19999695;1,470000029;294;9,899999619;13,43000031;21,93000031;39;20;1002;476;526;12;4754;30,72;73,90000153;17,79999924
Montana;1;799000;145556;5,489999771;23,89999962;0,75;415;10,39999962;53,40999985;32,83000183;27;47;982;464;518;22;5204;26,788;81;19,79999924
Nebraska;4;1578000;76878;20,53000069;48,5;0,819999993;334;8,800000191;11,02000046;24,75;44;67;1024;481;543;10;5038;30,317;81,80000305;18,89999962
Nevada;1;1202000;109806;10,94999981;82,90000153;0,829999983;337;8,5;2,720000029;19,88999939;27;60;919;435;484;25;4653;36,138;78,80000305;15,30000019
New Hampshire;2;1109000;8969;123,6500015;56,09999847;0,99000001;224;8,899999619;7,480000019;14,61999989;50;52;921;440;481;75;5672;42,335;82,19999695;24,39999962
New Jersey;2;7730000;7419;1041,920044;100;0,920000017;296;7,599999905;3,359999895;13,88000011;69;94;886;417;469;74;8645;47,693;76,69999695;24,89999962
New Mexico;1;1515000;121365;12,47999954;48,40000153;0,99000001;347;10,69999981;21,54999924;35,95999908;31;27;996;474;522;12;3895;28,069;75,09999847;20,39999962
New York;2;17990000;47224;380,9500122;91,09999847;1,220000029;200;5,900000095;3,359999895;12,22999954;60;67;881;413;468;75;8565;38,415;76,69999695;23,10000038
North Carolina;3;6629000;48718;136,0700073;56,70000076;0,910000026;300;9,5;18,70000076;19,48999977;45;37;844;400;444;57;4488;31,052;70;17,39999962
North Dakota;4;639000;68994;9,260000229;40,29999924;0,629999995;467;9,199999809;3,299999952;65,22000122;15;54;1073;502;571;6;4199;27,051;76,69999695;18,10000038
Ohio;4;10847000;40953;264,8599854;79;1,450000048;348;8;15,52000046;23,51000023;38;83;946;450;496;22;5245;33,452;75,69999695;17
Oklahoma;3;3146000;68679;45,81000137;59,40000153;0,949999988;396;10,5;10,52999973;27,98999977;31;20;997;476;521;9;3791;27,475;74,59999847;17,79999924
Oregon;1;2842000;96003;29,60000038;68,5;1,159999967;318;9,399999619;7,989999771;13,89000034;57;20;922;439;483;54;5683;31,755;81,5;20,60000038
Pennsylvania;2;11882000;44820;265,1000061;84,80000305;0,800000012;300;7,199999809;7,519999981;21,21999931;34;63;876;417;459;67;6541;33,875;74,69999695;17,89999962
Rhode Island;2;1003000;1045;959,8099976;92,5;1,200000048;218;7;5,25;11,76000023;85;90;880;421;459;67;6343;37,501;72;21,29999924
South Carolina;3;3487000;30111;115,8000031;60,59999847;1,149999976;330;9,899999619;19,28000069;17,44000053;60;37;832;395;437;58;4351;30,597;68,30000305;16,60000038
South Dakota;4;696000;75898;9,170000076;29,5;1,149999976;284;10;4,21999979;22,54999924;69;37;1047;496;551;5;3965;26,223;77,09999847;17,20000076
Tennessee;3;4877000;41220;118,3199997;67,69999695;1,029999971;350;9,600000381;42,54000092;22,52000046;39;63;1015;487;528;12;3782;28,908;67,09999847;16
Texas;3;16987000;261914;64,86000061;81,59999847;1,059999943;569;9,600000381;24,64999962;27,26000023;30;30;874;411;463;44;4438;31,482;72,09999847;20,29999924
Utah;1;1723000;82168;20,96999931;77,5;0,699999988;316;8,5;72,80000305;25,32999992;31;13;1031;494;537;5;2960;34,342;85,09999847;22,29999924
Vermont;2;563000;9249;60,86999893;23,39999962;0,689999998;232;10,39999962;1,809999943;15,17000008;85;94;890;424;466;68;6738;34,717;80,80000305;24,29999924
Virginia;3;6187000;39598;156,25;72,5;1,450000048;306;9,699999809;12,86999989;18,71999931;33;54;890;424;466;60;4836;38,838;75,19999695;24,5
Washington;1;4867000;66582;73,09999847;81,69999695;1,049999952;389;9,199999809;8,510000229;16,51000023;52;64;913;433;480;49;5000;36,338;83,80000305;22,89999962
West Virginia;3;1793000;24087;74,44000244;36,40000153;0,949999988;415;8,600000381;21,29999924;51,13999939;48;57;926;441;485;17;4911;24,233;66;12,30000019
Wisconsin;4;4892000;54314;90,06999969;67,40000153;0,699999988;288;9,100000381;9,199999809;20,57999992;47;57;1023;481;542;11;5871;34,309;78,59999847;17,70000076
Wyoming;1;454000;97105;4,679999828;29,60000038;0,699999988;786;12,80000019;25,51000023;114,4000015;0;10;980;466;514;13;5723;31,576;83;18,79999924
